"","event_name","Date","Tickets","Season","Game_Number","Day","effective_day","O_Team","Time_Type2","Month","Weekend","School","start_of_homestand","end_of_homestand","Opening_Day","Holiday","Fourth_of_july","Final_Game","BobbleHead","replica","Day_In_Homestand","star_wars","concert","christian_concert","playoff_odds","delete","afternoon_weekday","afternoon_weekend","Week","weighted_odds","first_homestand","Time_Type"
"33","EZBB0615",2018-06-15,41497,2018,33,"FRI","FRI","San Diego Padres",3,"Jun",1,0,0,0,0,0,0,0,1,0,4,0,0,0,40,0,0,0,24,1320,0,3
"34","EZBB0616",2018-06-16,41916,2018,34,"SAT","SAT","San Diego Padres",2,"Jun",1,0,0,0,0,0,0,0,0,0,5,0,0,0,35,0,0,1,24,1190,0,2
"35","EZBB0617",2018-06-17,40251,2018,35,"SUN","SUN","San Diego Padres",1,"Jun",1,0,0,1,0,0,0,0,0,0,6,0,0,0,40,0,0,1,24,1400,0,1
"36","EZBB0622",2018-06-22,37193,2018,36,"FRI","FRI","Baltimore Orioles ",3,"Jun",1,0,1,0,0,0,0,0,0,0,1,0,0,0,46,0,0,0,25,1656,0,3
"37","EZBB0623",2018-06-23,40333,2018,37,"SAT","SAT","Baltimore Orioles ",2,"Jun",1,0,0,0,0,0,0,0,0,0,2,0,1,0,42,0,0,1,25,1554,0,2
"38","EZBB0624",2018-06-24,33794,2018,38,"SUN","SUN","Baltimore Orioles ",1,"Jun",1,0,0,0,0,0,0,0,0,0,3,0,0,0,36,0,0,1,25,1368,0,1
"39","EZBB0625",2018-06-25,27851,2018,39,"MON","MON","Cincinnati Reds",3,"Jun",0,0,0,0,0,0,0,0,0,0,4,0,0,0,41,0,0,0,26,1599,0,5
"40","EZBB0626",2018-06-26,28356,2018,40,"TUE","TUE","Cincinnati Reds",3,"Jun",0,0,0,0,0,0,0,0,0,0,5,0,0,0,45,0,0,0,26,1800,0,5
"41","EZBB0627",2018-06-27,30207,2018,41,"WED","WED","Cincinnati Reds",1,"Jun",0,0,0,1,0,0,0,0,0,0,6,0,0,0,42,0,1,0,26,1722,0,4
"42","EZBB0710",2018-07-10,31747,2018,42,"TUE","TUE","Toronto Blue Jays",3,"Jul",0,0,1,0,0,0,0,0,0,0,1,0,0,0,39,0,0,0,28,1638,0,5
"43","EZBB0711",2018-07-11,27839,2018,43,"WED","WED","Toronto Blue Jays",3,"Jul",0,0,0,0,0,0,0,0,0,0,2,0,0,0,33,0,0,0,28,1419,0,5
"44","EZBB0713",2018-07-13,42130,2018,44,"FRI","FRI","Arizona Diamondbacks",3,"Jul",1,0,0,0,0,0,0,0,0,0,3,0,0,0,39,0,0,0,28,1716,0,3
"45","EZBB0714",2018-07-14,40862,2018,45,"SAT","SAT","Arizona Diamondbacks",3,"Jul",1,0,0,0,0,0,0,0,0,0,4,0,0,0,35,0,0,0,28,1575,0,3
"46","EZBB0715",2018-07-15,27323,2018,46,"SUN","SUN","Arizona Diamondbacks",1,"Jul",1,0,0,1,0,0,0,0,0,0,5,0,0,0,34,0,0,1,28,1564,0,1
"47","EZBB0726",2018-07-26,40706,2018,47,"THU","THU","Los Angeles Dodgers",3,"Jul",0,0,1,0,0,0,0,0,0,0,1,0,1,0,35,0,0,0,30,1645,0,5
"48","EZBB0727",2018-07-27,41647,2018,48,"FRI","FRI","Los Angeles Dodgers",3,"Jul",1,0,0,0,0,0,0,0,0,0,2,0,0,0,31,0,0,0,30,1488,0,3
"49","EZBB0728",2018-07-28,41758,2018,49,"SAT","SAT","Los Angeles Dodgers",3,"Jul",1,0,0,0,0,0,0,0,0,0,3,0,0,0,26,0,0,0,30,1274,0,3
"50","EZBB0729",2018-07-29,40303,2018,50,"SUN","SUN","Los Angeles Dodgers",1,"Jul",1,0,0,0,0,0,0,0,0,0,4,0,0,0,22,0,0,1,30,1100,0,1
"51","EZBB0730",2018-07-30,21230,2018,51,"MON","MON","Miami Marlins",3,"Jul",0,0,0,0,0,0,0,0,0,0,5,0,0,0,28,0,0,0,31,1428,0,5
"52","EZBB0731",2018-07-31,18627,2018,52,"TUE","TUE","Miami Marlins",3,"Jul",0,0,0,0,0,0,0,0,0,0,6,0,0,0,33,0,0,0,31,1716,0,5
